Iter: 000129 | Node: EQ000015 | Priority: 0.002236 | AFIR: ['250', '4', '12'] | Status: DONE
Iter: 000128 | Node: EQ000015 | Priority: 0.002236 | AFIR: ['250', '5', '12'] | Status: DONE
Iter: 000131 | Node: EQ000015 | Priority: 0.002236 | AFIR: ['250', '4', '10'] | Status: DONE
Iter: 000132 | Node: EQ000015 | Priority: 0.002236 | AFIR: ['250', '4', '7'] | Status: DONE
Iter: 000133 | Node: EQ000015 | Priority: 0.002236 | AFIR: ['250', '1', '12'] | Status: DONE
Iter: 000130 | Node: EQ000015 | Priority: 0.002236 | AFIR: ['250', '7', '10'] | Status: DONE
Iter: 000134 | Node: EQ000015 | Priority: 0.002236 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000136 | Node: EQ000004 | Priority: 0.001386 | AFIR: ['250', '4', '7'] | Status: DONE
Iter: 000137 | Node: EQ000004 | Priority: 0.001386 | AFIR: ['250', '1', '12'] | Status: DONE
Iter: 000127 | Node: EQ000015 | Priority: 0.002236 | AFIR: ['250', '7', '12'] | Status: DONE
Iter: 000139 | Node: EQ000004 | Priority: 0.001386 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000135 | Node: EQ000004 | Priority: 0.001386 | AFIR: ['250', '4', '12'] | Status: DONE
Iter: 000138 | Node: EQ000004 | Priority: 0.001386 | AFIR: ['250', '7', '10'] | Status: DONE
Iter: 000140 | Node: EQ000004 | Priority: 0.001386 | AFIR: ['250', '5', '12'] | Status: DONE
Iter: 000142 | Node: EQ000004 | Priority: 0.001386 | AFIR: ['250', '5', '10'] | Status: DONE
Iter: 000141 | Node: EQ000004 | Priority: 0.001386 | AFIR: ['250', '7', '12'] | Status: DONE
Iter: 000145 | Node: EQ000014 | Priority: 0.001386 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000143 | Node: EQ000004 | Priority: 0.001386 | AFIR: ['250', '1', '7'] | Status: DONE
Iter: 000144 | Node: EQ000004 | Priority: 0.001386 | AFIR: ['250', '4', '10'] | Status: DONE
Iter: 000146 | Node: EQ000014 | Priority: 0.001386 | AFIR: ['250', '4', '10'] | Status: DONE
Iter: 000147 | Node: EQ000014 | Priority: 0.001386 | AFIR: ['250', '4', '12'] | Status: DONE
Iter: 000148 | Node: EQ000014 | Priority: 0.001386 | AFIR: ['250', '7', '12'] | Status: DONE
Iter: 000150 | Node: EQ000014 | Priority: 0.001386 | AFIR: ['250', '4', '7'] | Status: DONE
Iter: 000149 | Node: EQ000014 | Priority: 0.001386 | AFIR: ['250', '7', '10'] | Status: DONE
Iter: 000153 | Node: EQ000014 | Priority: 0.001386 | AFIR: ['250', '1', '12'] | Status: DONE
Iter: 000151 | Node: EQ000014 | Priority: 0.001386 | AFIR: ['250', '5', '10'] | Status: DONE
Iter: 000152 | Node: EQ000014 | Priority: 0.001386 | AFIR: ['250', '5', '12'] | Status: DONE
Iter: 000154 | Node: EQ000014 | Priority: 0.001386 | AFIR: ['250', '1', '7'] | Status: DONE
Iter: 000156 | Node: EQ000020 | Priority: 0.000923 | AFIR: ['250', '1', '7'] | Status: DONE
Iter: 000155 | Node: EQ000020 | Priority: 0.000923 | AFIR: ['250', '7', '10'] | Status: DONE
Iter: 000158 | Node: EQ000021 | Priority: 0.053770 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000159 | Node: EQ000021 | Priority: 0.053770 | AFIR: ['250', '4', '10'] | Status: DONE
Iter: 000160 | Node: EQ000021 | Priority: 0.053770 | AFIR: ['250', '4', '7'] | Status: DONE
Iter: 000161 | Node: EQ000021 | Priority: 0.053770 | AFIR: ['250', '1', '12'] | Status: DONE
Iter: 000157 | Node: EQ000020 | Priority: 0.000923 | AFIR: ['250', '7', '12'] | Status: DONE
Iter: 000164 | Node: EQ000021 | Priority: 0.053770 | AFIR: ['250', '4', '12'] | Status: DONE
Iter: 000165 | Node: EQ000021 | Priority: 0.053770 | AFIR: ['250', '1', '7'] | Status: DONE
Iter: 000162 | Node: EQ000021 | Priority: 0.053770 | AFIR: ['250', '5', '10'] | Status: DONE
Iter: 000163 | Node: EQ000021 | Priority: 0.053770 | AFIR: ['250', '5', '12'] | Status: DONE
Iter: 000168 | Node: EQ000020 | Priority: 0.000873 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000169 | Node: EQ000020 | Priority: 0.000873 | AFIR: ['250', '4', '10'] | Status: DONE
Iter: 000167 | Node: EQ000021 | Priority: 0.053770 | AFIR: ['250', '7', '10'] | Status: DONE
Iter: 000166 | Node: EQ000021 | Priority: 0.053770 | AFIR: ['250', '7', '12'] | Status: DONE
Iter: 000171 | Node: EQ000020 | Priority: 0.000873 | AFIR: ['250', '1', '12'] | Status: DONE
Iter: 000173 | Node: EQ000020 | Priority: 0.000873 | AFIR: ['250', '4', '7'] | Status: DONE
Iter: 000170 | Node: EQ000020 | Priority: 0.000873 | AFIR: ['250', '5', '10'] | Status: DONE
Iter: 000172 | Node: EQ000020 | Priority: 0.000873 | AFIR: ['250', '4', '12'] | Status: DONE
Iter: 000175 | Node: EQ000000 | Priority: 0.000873 | AFIR: ['250', '4', '7'] | Status: DONE
Iter: 000174 | Node: EQ000020 | Priority: 0.000873 | AFIR: ['250', '5', '12'] | Status: DONE
Iter: 000177 | Node: EQ000000 | Priority: 0.000873 | AFIR: ['250', '4', '12'] | Status: DONE
Iter: 000176 | Node: EQ000000 | Priority: 0.000873 | AFIR: ['250', '7', '10'] | Status: DONE
Iter: 000179 | Node: EQ000000 | Priority: 0.000873 | AFIR: ['250', '4', '10'] | Status: DONE
Iter: 000180 | Node: EQ000000 | Priority: 0.000873 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000181 | Node: EQ000002 | Priority: 0.000000 | AFIR: ['250', '1', '7'] | Status: DONE
Iter: 000182 | Node: EQ000002 | Priority: 0.000000 | AFIR: ['250', '4', '10'] | Status: DONE
Iter: 000183 | Node: EQ000002 | Priority: 0.000000 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000184 | Node: EQ000002 | Priority: 0.000000 | AFIR: ['250', '1', '4'] | Status: DONE
Iter: 000185 | Node: EQ000002 | Priority: 0.000000 | AFIR: ['250', '1', '12'] | Status: DONE
Iter: 000178 | Node: EQ000000 | Priority: 0.000873 | AFIR: ['250', '5', '12'] | Status: DONE
Iter: 000187 | Node: EQ000002 | Priority: 0.000000 | AFIR: ['250', '5', '12'] | Status: DONE
Iter: 000188 | Node: EQ000002 | Priority: 0.000000 | AFIR: ['250', '5', '10'] | Status: DONE
Iter: 000189 | Node: EQ000002 | Priority: 0.000000 | AFIR: ['250', '4', '7'] | Status: DONE
Iter: 000190 | Node: EQ000002 | Priority: 0.000000 | AFIR: ['250', '7', '10'] | Status: DONE
