Iter: 000095 | Node: EQ000011 | Priority: 0.057719 | AFIR: ['300', '1', '5']
Iter: 000096 | Node: EQ000002 | Priority: 0.066063 | AFIR: ['300', '5', '10']
Iter: 000097 | Node: EQ000020 | Priority: 0.054730 | AFIR: ['300', '5', '10']
Iter: 000098 | Node: EQ000017 | Priority: 0.050221 | AFIR: ['300', '1', '4']
Iter: 000099 | Node: EQ000021 | Priority: 0.063868 | AFIR: ['300', '4', '10']
Iter: 000100 | Node: EQ000017 | Priority: 0.050221 | AFIR: ['300', '5', '10']
Iter: 000101 | Node: EQ000002 | Priority: 0.066063 | AFIR: ['300', '1', '12']
Iter: 000102 | Node: EQ000015 | Priority: 0.063868 | AFIR: ['300', '7', '10']
Iter: 000103 | Node: EQ000015 | Priority: 0.063868 | AFIR: ['300', '1', '7']
Iter: 000104 | Node: EQ000023 | Priority: 0.065372 | AFIR: ['300', '1', '4']
Iter: 000105 | Node: EQ000012 | Priority: 0.065372 | AFIR: ['300', '7', '10']
Iter: 000106 | Node: EQ000021 | Priority: 0.063868 | AFIR: ['300', '1', '4']
Iter: 000107 | Node: EQ000016 | Priority: 0.064249 | AFIR: ['300', '5', '10']
Iter: 000108 | Node: EQ000016 | Priority: 0.064249 | AFIR: ['300', '1', '5']
Iter: 000109 | Node: EQ000010 | Priority: 0.038796 | AFIR: ['300', '4', '7']
Iter: 000110 | Node: EQ000015 | Priority: 0.063868 | AFIR: ['300', '4', '12']
Iter: 000111 | Node: EQ000014 | Priority: 0.057058 | AFIR: ['300', '1', '7']
Iter: 000112 | Node: EQ000014 | Priority: 0.057058 | AFIR: ['300', '7', '10']
Iter: 000113 | Node: EQ000025 | Priority: 0.054730 | AFIR: ['300', '1', '12']
Iter: 000114 | Node: EQ000012 | Priority: 0.065372 | AFIR: ['300', '5', '10']
Iter: 000115 | Node: EQ000018 | Priority: 0.039104 | AFIR: ['300', '1', '12']
Iter: 000116 | Node: EQ000018 | Priority: 0.039104 | AFIR: ['300', '1', '4']
Iter: 000117 | Node: EQ000016 | Priority: 0.064249 | AFIR: ['300', '1', '4']
